学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立大戸小学校,埼玉県さいたま市中央区新中里１－６－２８,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立下落合小学校,埼玉県さいたま市中央区上落合１－７－３３,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立与野西北小学校,埼玉県さいたま市中央区円阿弥４－３－７,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立鈴谷小学校,埼玉県さいたま市中央区鈴谷５－１－１,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立与野八幡小学校,埼玉県さいたま市中央区本町東５－２３－１４,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立与野南小学校,埼玉県さいたま市中央区大戸６－２－２５,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立土合小学校,埼玉県さいたま市桜区西堀７－２１－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立大久保小学校,埼玉県さいたま市桜区五関２１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立栄和小学校,埼玉県さいたま市桜区栄和１－７－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立田島小学校,埼玉県さいたま市桜区田島１０－１２－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立大久保東小学校,埼玉県さいたま市桜区大久保領家３３１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立新開小学校,埼玉県さいたま市桜区新開２－１８－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立神田小学校,埼玉県さいたま市桜区神田５４１－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立中島小学校,埼玉県さいたま市桜区中島１－２８－１,桜区,小学校,公立,知的固定・情緒固定あり
さいたま市立高砂小学校,埼玉県さいたま市浦和区岸町４－１－２９,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立常盤小学校,埼玉県さいたま市浦和区常盤９－３０－９,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立木崎小学校,埼玉県さいたま市浦和区領家４－１９－４,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立仲本小学校,埼玉県さいたま市浦和区本太２－１２－３１,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立本太小学校,埼玉県さいたま市浦和区本太２－２６－２５,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立北浦和小学校,埼玉県さいたま市浦和区北浦和２－１８－３,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立仲町小学校,埼玉県さいたま市浦和区常盤８－１８－４,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立上木崎小学校,埼玉県さいたま市浦和区上木崎３－４－３,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立岸町小学校,埼玉県さいたま市浦和区岸町５－２０－４,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立針ヶ谷小学校,埼玉県さいたま市浦和区領家７－２－１,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立大東小学校,埼玉県さいたま市浦和区大東３－１４－１,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立常盤北小学校,埼玉県さいたま市浦和区針ヶ谷４－２－１２,浦和区,小学校,公立,知的固定・情緒固定あり
さいたま市立谷田小学校,埼玉県さいたま市南区太田窪５－１０－６,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立南浦和小学校,埼玉県さいたま市南区白幡１－１－２０,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立浦和別所小学校,埼玉県さいたま市南区別所２－５－３４,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立大谷場小学校,埼玉県さいたま市南区南浦和１丁目１８番３号,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立大谷場東小学校,埼玉県さいたま市南区大谷場２－１３－５４,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立西浦和小学校,埼玉県さいたま市南区曲本１－３－５,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立辻小学校,埼玉県さいたま市南区辻６－３－２８,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立文蔵小学校,埼玉県さいたま市南区文蔵５－１６－２９,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立沼影小学校,埼玉県さいたま市南区沼影２－８－３６,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立大谷口小学校,埼玉県さいたま市南区広ヶ谷戸２４,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立浦和大里小学校,埼玉県さいたま市南区別所７－１４－２８,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立善前小学校,埼玉県さいたま市南区太田窪２５００－１,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立向小学校,埼玉県さいたま市南区大谷口５４３７番地,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立辻南小学校,埼玉県さいたま市南区辻８－７－３２,南区,小学校,公立,知的固定・情緒固定あり
さいたま市立三室小学校,埼玉県さいたま市緑区三室１９９４,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立尾間木小学校,埼玉県さいたま市緑区東浦和８－１１－５,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立原山小学校,埼玉県さいたま市緑区原山１－３０－１２,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立大門小学校,埼玉県さいたま市緑区大門１１８９,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立野田小学校,埼玉県さいたま市緑区大字上野田１６,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立道祖土小学校,埼玉県さいたま市緑区道祖土１－１－１,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立中尾小学校,埼玉県さいたま市緑区中尾２５９６－１,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立大牧小学校,埼玉県さいたま市緑区東浦和６－１２－３,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立芝原小学校,埼玉県さいたま市緑区芝原２丁目５番地,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立美園小学校,埼玉県さいたま市緑区美園５－３３,緑区,小学校,公立,知的固定・情緒固定あり
さいたま市立美園北小学校,埼玉県さいたま市緑区美園２－１２－１１,緑区,小学校,公立,知的固定・情緒固定あり
